INFO 2025-07-16 17:13:25,355 autoreload 22579 138492381681472 Watching for file changes with StatReloader
INFO 2025-07-16 17:14:55,290 autoreload 22982 139287315035264 Watching for file changes with StatReloader
INFO 2025-07-16 17:16:21,004 autoreload 23239 137644654232704 Watching for file changes with StatReloader
INFO 2025-07-16 17:16:37,979 autoreload 23272 129770527519872 Watching for file changes with StatReloader
INFO 2025-07-16 17:16:59,175 autoreload 23309 136550528947328 Watching for file changes with StatReloader
WARNING 2025-07-16 17:17:10,326 log 23309 136550458324544 Not Found: /
WARNING 2025-07-16 17:17:10,326 basehttp 23309 136550458324544 "GET / HTTP/1.1" 404 3805
WARNING 2025-07-16 17:17:10,376 log 23309 136550458324544 Not Found: /favicon.ico
WARNING 2025-07-16 17:17:10,376 basehttp 23309 136550458324544 "GET /favicon.ico HTTP/1.1" 404 3856
INFO 2025-07-16 17:17:22,216 basehttp 23309 136550458324544 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-16 17:17:22,229 basehttp 23309 136550458324544 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4183
INFO 2025-07-16 17:17:22,285 basehttp 23309 136550458324544 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-07-16 17:17:22,288 basehttp 23309 136550222390848 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-07-16 17:17:22,288 basehttp 23309 136550449931840 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-07-16 17:17:22,289 basehttp 23309 136550205605440 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-07-16 17:17:22,289 basehttp 23309 136550213998144 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-07-16 17:17:22,289 basehttp 23309 136550230783552 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-07-16 17:17:22,293 basehttp 23309 136550213998144 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-07-16 17:17:33,043 basehttp 23309 136550213998144 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4350
INFO 2025-07-16 17:17:41,914 basehttp 23309 136550213998144 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4350
INFO 2025-07-16 18:00:15,347 autoreload 23309 136550528947328 /home/diracai/Desktop/sushru_Backend/sushrusa_platform/urls.py changed, reloading.
INFO 2025-07-16 18:00:15,677 autoreload 24834 129649840518272 Watching for file changes with StatReloader
